name,screen diagonal,screen resolution,cpu,ram,storage type,storage size,price,link,gpu
Acer Swift 1 SF114-32-C6XS NX.GXVER.001 серебристый,14 дюйм,1920x1280,Intel Celeron N4000,4 ГБ,SSD,128 ГБ,189990,https://kaspi.kz/shop/p/acer-swift-1-sf114-32-c6xs-nx-gxver-001-serebristyi-100713768/?c=750000000,Intel UHD Graphics 600
Acer Aspire 3 A315-56 I341TUN NX.HS5ER.00V черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,HDD,1024 ГБ,179990,https://kaspi.kz/shop/p/acer-aspire-3-a315-56-i341tun-nx-hs5er-00v-chernyi-100742499/?c=750000000,Intel UHD Graphics G1
Asus X515MA-EJ013 90NB0TH1-M00140 серый,15.6 дюйм,1920x1080,Intel Pentium Silver N5030,8 ГБ,SSD,256 ГБ,249990,https://kaspi.kz/shop/p/asus-x515ma-ej013-90nb0th1-m00140-seryi-101100381/?c=750000000,Intel UHD Graphics 605
Acer Aspire 3 A315-34 NX.HE3ER.00B черный,15.6 дюйм,1920x1080,Intel Celeron N4000,4 ГБ,HDD,1000 ГБ,153900,https://kaspi.kz/shop/p/acer-aspire-3-a315-34-nx-he3er-00b-chernyi-100503465/?c=750000000,Intel UHD Graphics 600
Asus VivoBook 15 X512J 90NB0QU2-M14900 серебристый,15 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,HDD,1000 ГБ,279990,https://kaspi.kz/shop/p/asus-vivobook-15-x512j-90nb0qu2-m14900-serebristyi-101342573/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad 3 81WQ005BRK серый,15.6 дюйм,1920x1080,Intel Celeron N4020,8 ГБ,SSD,256 ГБ,136990,https://kaspi.kz/shop/p/lenovo-ideapad-3-81wq005brk-seryi-101570398/?c=750000000,Intel UHD Graphics 600
HP 14s-fq0016ur черный,14 дюйм,1366x768,AMD Athlon 3020e,4 ГБ,SSD,256 ГБ,134900,https://kaspi.kz/shop/p/hp-14s-fq0016ur-chernyi-101206143/?c=750000000,AMD Radeon Graphics
Acer Aspire EX215-52-36GF NX.EG8ER.01U черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,SSD,128 ГБ,209990,https://kaspi.kz/shop/p/acer-aspire-ex215-52-36gf-nx-eg8er-01u-chernyi-100788329/?c=750000000,Intel UHD Graphics
HP 15S-FQ2039UR 321H7EA серебристый,15.6 дюйм,1920x1080,Intel Core i3 1115G4,8 ГБ,SSD,512 ГБ,268200,https://kaspi.kz/shop/p/hp-15s-fq2039ur-321h7ea-serebristyi-100962538/?c=750000000,Intel UHD Graphics
Acer Swift 1 SF114-32 NX.GXUER.00B серебристый,14 дюйм,1920x1080,Intel Pentium Silver N5000,4 ГБ,SSD,256 ГБ,219990,https://kaspi.kz/shop/p/acer-swift-1-sf114-32-nx-gxuer-00b-serebristyi-100152247/?c=750000000,Intel UHD Graphics 605
HP 14s-dq2006ur 2X1P0EA серебристый,14 дюйм,1920x1080,Intel Core i3 1115G4,8 ГБ,SSD,512 ГБ,269580,https://kaspi.kz/shop/p/hp-14s-dq2006ur-2x1p0ea-serebristyi-101388857/?c=750000000,Intel UHD Graphics
Acer Aspire 3 A315-23 NX.HVTER.001 черный,15.6 дюйм,1920x1080,AMD Athlon Silver 3050U,4 ГБ,SSD,256 ГБ,155000,https://kaspi.kz/shop/p/acer-aspire-3-a315-23-nx-hvter-001-chernyi-101272505/?c=750000000,AMD Radeon Graphics
Asus X515EA-BQ073T 90NB0TY2-M01190 серебристый,15.6 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,319990,https://kaspi.kz/shop/p/asus-x515ea-bq073t-90nb0ty2-m01190-serebristyi-101398964/?c=750000000,Intel Iris Graphics
Lenovo V15-ADA 82C7000YRU серый,15.6 дюйм,1920x1080,AMD Ryzen 5 3500U,8 ГБ,SSD,256 ГБ,219990,https://kaspi.kz/shop/p/lenovo-v15-ada-82c7000yru-seryi-101369068/?c=750000000,AMD Radeon RX Vega 8
Asus X515MA-BR199T 90NB0TH1-M04130 серый,15.6 дюйм,1920x1080,Intel Celeron N4120,4 ГБ,HDD,500 ГБ,179900,https://kaspi.kz/shop/p/asus-x515ma-br199t-90nb0th1-m04130-seryi-101265152/?c=750000000,Intel UHD Graphics 600
Haier U1500SD синий,15.6 дюйм,1920x1080,Intel Celeron N4000,4 ГБ,SSD,192 ГБ,119990,https://kaspi.kz/shop/p/haier-u1500sd-sinii-101148019/?c=750000000,Intel UHD Graphics 600
Lenovo IdeaPad 3 17ADA05 81W2003WRK серый,17.3 дюйм,1600x900,AMD Ryzen 3 3250U,8 ГБ,SSD,256 ГБ,197300,https://kaspi.kz/shop/p/lenovo-ideapad-3-17ada05-81w2003wrk-seryi-101534241/?c=750000000,AMD Radeon Graphics
Asus M513UA-BQ135T 90NB0TP1-M01850 черный,15.6 дюйм,1920x1080,AMD Ryzen 5 5500U,8 ГБ,SSD,256 ГБ,289990,https://kaspi.kz/shop/p/asus-m513ua-bq135t-90nb0tp1-m01850-chernyi-101524302/?c=750000000,AMD Radeon Graphics
Lenovo V15-ADA 82C7009DRU серый,15.6 дюйм,1920x1080,AMD Athlon 3020e,8 ГБ,SSD,256 ГБ,169990,https://kaspi.kz/shop/p/lenovo-v15-ada-82c7009dru-seryi-101213096/?c=750000000,AMD Radeon Graphics
Lenovo V15 82C7007VRU серый,15.6 дюйм,1366x768,AMD Ryzen 3 3250U,4 ГБ,HDD,1000 ГБ,189990,https://kaspi.kz/shop/p/lenovo-v15-82c7007vru-seryi-101157174/?c=750000000,AMD Radeon RX Vega 3
Lenovo IdeaPad 3 17ADA05 81W2001FRK серый,17.3 дюйм,1600x900,AMD Athlon 3020e,4 ГБ,HDD,1000 ГБ,149990,https://kaspi.kz/shop/p/lenovo-ideapad-3-17ada05-81w2001frk-seryi-101156657/?c=750000000,AMD Radeon RX Vega 3
Asus X515MA-BR092 90NB0TH1-M01790 серебристый,15.6 дюйм,1366x768,Intel Pentium Silver N5030,4 ГБ,HDD,1000 ГБ,157980,https://kaspi.kz/shop/p/asus-x515ma-br092-90nb0th1-m01790-serebristyi-101158075/?c=750000000,Intel UHD Graphics 605
Acer A315-34 NX.HE3ER.008 черный,15.6 дюйм,1920x1080,Intel Pentium Silver N5000,4 ГБ,SSD,256 ГБ,184900,https://kaspi.kz/shop/p/acer-a315-34-nx-he3er-008-chernyi-100466975/?c=750000000,Intel UHD Graphics 605
Acer A315-34 NX.HE3ER.010 черный,15.6 дюйм,1920x1080,Intel Pentium Silver N5030,4 ГБ,HDD,1000 ГБ,159990,https://kaspi.kz/shop/p/acer-a315-34-nx-he3er-010-chernyi-100470648/?c=750000000,Intel UHD Graphics 605
ZIK Computers W-1167S EDU 009zik белый,11.6 дюйм,1366x768,Intel Celeron J4115,8 ГБ,eMMC,64 ГБ,134000,https://kaspi.kz/shop/p/zik-computers-w-1167s-edu-009zik-belyi-100764189/?c=750000000,Intel UHD Graphics 600
Lenovo V15 G2 ALC 82KD002URU серый,15.6 дюйм,1920x1080,AMD Ryzen 3 5300U,8 ГБ,SSD,256 ГБ,219900,https://kaspi.kz/shop/p/lenovo-v15-g2-alc-82kd002uru-seryi-101369037/?c=750000000,AMD Radeon Graphics
Dell Inspiron 3501 210-AWWX 5397184501504 черный,15.6 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,249900,https://kaspi.kz/shop/p/dell-inspiron-3501-210-awwx-5397184501504-chernyi-101156078/?c=750000000,Intel UHD Graphics 620
HP 15s-eq0065ur 28P58EA серый,15.6 дюйм,1920x1080,AMD Ryzen 5 3500U,4 ГБ,SSD,512 ГБ,237990,https://kaspi.kz/shop/p/hp-15s-eq0065ur-28p58ea-seryi-101044582/?c=750000000,AMD Radeon RX Vega 8
Dell Inspiron 3501 210-AWWX черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,HDD,1000 ГБ,182900,https://kaspi.kz/shop/p/dell-inspiron-3501-210-awwx-chernyi-101014453/?c=750000000,Intel UHD Graphics 620
Apple MacBook Air 13 2020 MVH52 золотистый,13.3 дюйм,2560x1600,Intel Core i5,8 ГБ,SSD,512 ГБ,568500,https://kaspi.kz/shop/p/apple-macbook-air-13-2020-mvh52-zolotistyi-100233758/?c=750000000,Intel Iris Plus Graphics
Lenovo S340-15ILL 81VW00DYRK синий,15.6 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,512 ГБ,238085,https://kaspi.kz/shop/p/lenovo-s340-15ill-81vw00dyrk-sinii-101044619/?c=750000000,Intel UHD Graphics
Lenovo V15-ADA 82C700F7RU серый,15.6 дюйм,1920x1080,AMD Athlon Silver 3050U,4 ГБ,SSD,256 ГБ,154900,https://kaspi.kz/shop/p/lenovo-v15-ada-82c700f7ru-seryi-101368991/?c=750000000,AMD Radeon Graphics
Apple MacBook Pro 13 2020 MWP42 серый,13.3 дюйм,2560x1600,Intel Core i5 1038NG7,16 ГБ,SSD,512 ГБ,879900,https://kaspi.kz/shop/p/apple-macbook-pro-13-2020-mwp42-seryi-100380018/?c=750000000,Intel Iris Plus Graphics G7
Huawei MateBook D 14 R585SUW NobelL-WDQ9B серый,14 дюйм,1920x1080,AMD Ryzen 5 4500U,8 ГБ,SSD,512 ГБ,367745,https://kaspi.kz/shop/p/huawei-matebook-d-14-r585suw-nobell-wdq9b-seryi-101066892/?c=750000000,AMD Radeon RX Vega 6
Asus E410M P41UW 90NB0Q11-M09810 черный,14 дюйм,1920x1080,Intel Pentium Silver N5030,4 ГБ,SSD,128 ГБ,179990,https://kaspi.kz/shop/p/asus-e410m-p41uw-90nb0q11-m09810-chernyi-100713408/?c=750000000,Intel UHD Graphics 605
HP 15s-eq1037ur 15D01EA серебристый,15.6 дюйм,1920x1080,AMD Ryzen 3 3250U,4 ГБ,SSD,512 ГБ,214900,https://kaspi.kz/shop/p/hp-15s-eq1037ur-15d01ea-serebristyi-101027954/?c=750000000,AMD Radeon Graphics
Asus VivoBook 14 K413EA-AM824T 90NB0RLB-M12750 серый,14 дюйм,1920x1080,Intel Core i3 1115G4,8 ГБ,SSD,256 ГБ,279990,https://kaspi.kz/shop/p/asus-vivobook-14-k413ea-am824t-90nb0rlb-m12750-seryi-101525099/?c=750000000,Intel UHD Graphics
Asus Laptop 15 X515JA-EJ013T 90NB0SR2-M05420 серый,15.6 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,259990,https://kaspi.kz/shop/p/asus-laptop-15-x515ja-ej013t-90nb0sr2-m05420-seryi-101342458/?c=750000000,Intel UHD Graphics
Apple MacBook Pro 13 2020 MXK32 серый,13.3 дюйм,2560x1600,Intel Core i5 8257U,8 ГБ,SSD,256 ГБ,665375,https://kaspi.kz/shop/p/apple-macbook-pro-13-2020-mxk32-seryi-100275513/?c=750000000,Intel Iris Plus Graphics 645
Acer SF314-57 NX.HHXER.003 черный,14 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,295290,https://kaspi.kz/shop/p/acer-sf314-57-nx-hhxer-003-chernyi-100783829/?c=750000000,Intel UHD Graphics
HP 14-DV0011UR 2H5W9EA серебристый,14 дюйм,1920x1080,Intel Core i3 1115G4,8 ГБ,SSD,512 ГБ,302900,https://kaspi.kz/shop/p/hp-14-dv0011ur-2h5w9ea-serebristyi-101208584/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad 3 15IIL05 81WE00VGRK серый,15.6 дюйм,1366x768,Intel Core i5 1035G1,8 ГБ,SSD,256 ГБ,246990,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iil05-81we00vgrk-seryi-101448903/?c=750000000,Intel UHD Graphics G1
Apple MacBook Air 13.3 MGN93RU/A серебристый,13.3 дюйм,2560x1600,Apple M1,8 ГБ,SSD,256 ГБ,532000,https://kaspi.kz/shop/p/apple-macbook-air-13-3-mgn93ru-a-serebristyi-101192123/?c=750000000,Apple M1
Acer Aspire 3 A315-34 NX.HE3ER.00G черный,15.6 дюйм,1920x1080,Intel Pentium Silver N5000,4 ГБ,HDD,1000 ГБ,186698,https://kaspi.kz/shop/p/acer-aspire-3-a315-34-nx-he3er-00g-chernyi-101525030/?c=750000000,Intel UHD Graphics 605
HP 15S-FQ2037UR 321H5EA серебристый,15.6 дюйм,1920x1080,Intel Core i3 1115G4,4 ГБ,SSD,512 ГБ,255000,https://kaspi.kz/shop/p/hp-15s-fq2037ur-321h5ea-serebristyi-101112755/?c=750000000,Intel UHD Graphics
Asus S433EA-AM506T 90NB0RL3-M07760 белый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,359990,https://kaspi.kz/shop/p/asus-s433ea-am506t-90nb0rl3-m07760-belyi-101366705/?c=750000000,Intel Iris Xe Graphics
Lenovo IdeaPad 5 14ARE05 81YM00B1RK серый,14 дюйм,1920x1080,AMD Ryzen 7 4700U,8 ГБ,SSD,512 ГБ,309990,https://kaspi.kz/shop/p/lenovo-ideapad-5-14are05-81ym00b1rk-seryi-100625360/?c=750000000,AMD Radeon Graphics
HP ENVY x360 15-ed1012ur 321P0EA серый,15.6 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,1000 ГБ,449770,https://kaspi.kz/shop/p/hp-envy-x360-15-ed1012ur-321p0ea-seryi-101211850/?c=750000000,Intel Iris Xe Graphics
Asus Zenbook UM325UA 90NB0TR1-M00320 черный,13.3 дюйм,1920x1080,AMD Ryzen 5 5500U,8 ГБ,SSD,512 ГБ,399990,https://kaspi.kz/shop/p/asus-zenbook-um325ua-90nb0tr1-m00320-chernyi-101388921/?c=750000000,AMD Radeon Graphics
HP Envy x360 15-ee0004ur 15C93EA черный,15.6 дюйм,1920x1080,AMD Ryzen 7 4700U,8 ГБ,SSD,1000 ГБ,474900,https://kaspi.kz/shop/p/hp-envy-x360-15-ee0004ur-15c93ea-chernyi-100445409/?c=750000000,AMD Radeon Graphics
HP 15-gw0000ur 16D94EA черный,15.6 дюйм,1366x768,AMD Athlon Silver 3050U,4 ГБ,HDD,1000 ГБ,149890,https://kaspi.kz/shop/p/hp-15-gw0000ur-16d94ea-chernyi-101342720/?c=750000000,AMD Radeon HD
Lenovo V145-15AST 81MT0024RU черный,15.6 дюйм,1366x768,AMD A9 9425,8 ГБ,HDD,1000 ГБ,169990,https://kaspi.kz/shop/p/lenovo-v145-15ast-81mt0024ru-chernyi-100051445/?c=750000000,AMD Radeon R5
Lenovo IdeaPad 5 15ARE05 81YQ001JRK серый,15.6 дюйм,1920x1080,AMD Ryzen 7 4700U,8 ГБ,SSD,128 ГБ,259990,https://kaspi.kz/shop/p/lenovo-ideapad-5-15are05-81yq001jrk-seryi-101526232/?c=750000000,AMD Radeon Graphics
Lenovo Legion 5 15ARH05 82B500GPRK черный,15.6 дюйм,1920x1080,AMD Ryzen 7 4800H,16 ГБ,SSD,512 ГБ,484700,https://kaspi.kz/shop/p/lenovo-legion-5-15arh05-82b500gprk-chernyi-101342904/?c=750000000,NVIDIA GeForce GTX 1650 Ti
Acer Aspire A515-55 NX.HSHER.002 черный,15.6 дюйм,1920x1080,Intel Core i3 1005G1,4 ГБ,SSD,512 ГБ,259990,https://kaspi.kz/shop/p/acer-aspire-a515-55-nx-hsher-002-chernyi-100742973/?c=750000000,Intel UHD Graphics G1
Lenovo IdeaPad 5 15ITL05 82FG00NRRK черный,15.6 дюйм,1920x1080,Intel Core i3 1115G4,8 ГБ,SSD,128 ГБ,212990,https://kaspi.kz/shop/p/lenovo-ideapad-5-15itl05-82fg00nrrk-chernyi-101598794/?c=750000000,Intel UHD Graphics
Acer Extensa 15 EX215-21-64CR NX.EFUER.00M черный,15.6 дюйм,1920x1080,AMD A6 9220e,4 ГБ,SSD,256 ГБ,179990,https://kaspi.kz/shop/p/acer-extensa-15-ex215-21-64cr-nx-efuer-00m-chernyi-100548286/?c=750000000,AMD Radeon R4
Chuwi HeroBook Pro 14.1 B08316YSKH серебристый,14.1 дюйм,1920x1080,Intel Gemini Lake N4000,8 ГБ,SSD,256 ГБ,190000,https://kaspi.kz/shop/p/chuwi-herobook-pro-14-1-b08316yskh-serebristyi-101675028/?c=750000000,Intel UHD Graphics 600
Lenovo ideapad 81WE0122RK черный,15.6 дюйм,1920x1080,Intel Core i3 1005G1,4 ГБ,HDD,1024 ГБ,261790,https://kaspi.kz/shop/p/lenovo-ideapad-81we0122rk-chernyi-101625486/?c=750000000,Intel UHD Graphics
Chuwi LarkBook 13.3 B08MW7Q3S5 серый,13.3 дюйм,1920x1080,Intel Celeron N4100,8 ГБ,SSD,256 ГБ,270000,https://kaspi.kz/shop/p/chuwi-larkbook-13-3-b08mw7q3s5-seryi-101675012/?c=750000000,Intel UHD Graphics 600
Acer Aspire E 15 E5-576G-59G9 NX.GVBER.004 черный,15.6 дюйм,1366x768,Intel Core i5 7200U,4 ГБ,HDD,500 ГБ,309990,https://kaspi.kz/shop/p/acer-aspire-e-15-e5-576g-59g9-nx-gvber-004-chernyi-101582745/?c=750000000,NVIDIA GeForce MX130
Asus Laptop 15 X515JA-BQ041T 90NB0SR1-M09150 серый,15.6 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,277100,https://kaspi.kz/shop/p/asus-laptop-15-x515ja-bq041t-90nb0sr1-m09150-seryi-101352557/?c=750000000,Intel UHD Graphics
Acer Extensa EX215-22-R21J NX.EG9ER.00L черный,15.6 дюйм,1920x1080,AMD Ryzen 3 3250U,8 ГБ,SSD,256 ГБ,268000,https://kaspi.kz/shop/p/acer-extensa-ex215-22-r21j-nx-eg9er-00l-chernyi-101352812/?c=750000000,AMD Radeon Graphics
HP 250 G8 2W8Z4EA серый,15.6 дюйм,1366x768,Intel Core i3 1115G4,4 ГБ,SSD,256 ГБ,225000,https://kaspi.kz/shop/p/hp-250-g8-2w8z4ea-seryi-101366749/?c=750000000,Intel UHD Graphics
Asus ExpertBook P1 P1510CDA-BQ1386R синий,15.6 дюйм,1920x1080,AMD Ryzen 3 3250U,8 ГБ,SSD,512 ГБ,321200,https://kaspi.kz/shop/p/asus-expertbook-p1-p1510cda-bq1386r-sinii-101354416/?c=750000000,AMD Radeon RX Vega 3
Asus X509MA-BR113T 90NB0Q32-M03680 серый,15.6 дюйм,1366x768,Intel Pentium Silver N5000,4 ГБ,HDD,500 ГБ,239990,https://kaspi.kz/shop/p/asus-x509ma-br113t-90nb0q32-m03680-seryi-101352189/?c=750000000,Intel UHD Graphics 605
Lenovo IdeaPad 3 R342SUN 81W1004KRK серый,15.6 дюйм,1366x768,AMD Ryzen 3 3250U,4 ГБ,SSD,256 ГБ,219990,https://kaspi.kz/shop/p/lenovo-ideapad-3-r342sun-81w1004krk-seryi-101459626/?c=750000000,AMD Radeon R Vega
Chuwi CoreBook X 14 B08KZRZ63G серый,14 дюйм,2160x1440,Intel Core i5 7267U,16 ГБ,SSD,256 ГБ,310000,https://kaspi.kz/shop/p/chuwi-corebook-x-14-b08kzrz63g-seryi-101674980/?c=750000000,Intel Iris Graphics 650
Asus ExpertBook P1 P1510CDA-BQ1361R синий,15.6 дюйм,1920x1080,AMD Ryzen 7 3700U,16 ГБ,HDD+SSD,1512 ГБ,425100,https://kaspi.kz/shop/p/asus-expertbook-p1-p1510cda-bq1361r-sinii-101352320/?c=750000000,AMD Radeon RX Vega 10
HP Europe 250 G8 2W8Z4EA черный,15.6 дюйм,1920x1080,Intel Core i3 1115G4,4 ГБ,SSD,256 ГБ,225000,https://kaspi.kz/shop/p/hp-europe-250-g8-2w8z4ea-chernyi-101366782/?c=750000000,Intel UHD Graphics 620
Asus Zenbook UX325EA-KG230T 90NB0SL1-M06460 OLED серый,13.3 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,535400,https://kaspi.kz/shop/p/asus-zenbook-ux325ea-kg230t-90nb0sl1-m06460-oled-seryi-101353753/?c=750000000,Intel Iris Xe Graphics
Asus Laptop 15 M509D 90NB0P52-M18560 серый,15.6 дюйм,1920x1080,AMD Ryzen 3 3200U,8 ГБ,HDD,1024 ГБ,239990,https://kaspi.kz/shop/p/asus-laptop-15-m509d-90nb0p52-m18560-seryi-101162330/?c=750000000,AMD Radeon RX Vega 3
Asus Laptop 15 X509JA-EJ062 I341TUN 90NB0QE1-M13580 серебристый,15.6 дюйм,1920x1080,Intel Core i3 1005G1,4 ГБ,HDD,1024 ГБ,249990,https://kaspi.kz/shop/p/asus-laptop-15-x509ja-ej062-i341tun-90nb0qe1-m13580-serebristyi-100907119/?c=750000000,Intel UHD Graphics
Acer Aspire 3 A315-55G-79LN NX.HNSSG.00D черный,15.6 дюйм,1366x768,Intel Core i7 10510U,8 ГБ,HDD,1000 ГБ,399990,https://kaspi.kz/shop/p/acer-aspire-3-a315-55g-79ln-nx-hnssg-00d-chernyi-101171800/?c=750000000,Intel UHD Graphics 620
Lenovo V15-IIL 82C500NRRU серый,15.6 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,269990,https://kaspi.kz/shop/p/lenovo-v15-iil-82c500nrru-seryi-100918429/?c=750000000,Intel UHD Graphics
HP ProBook 440 G7 9HP67EA серебристый,14 дюйм,1920x1080,Intel Core i7 10510U,16 ГБ,SSD,512 ГБ,599990,https://kaspi.kz/shop/p/hp-probook-440-g7-9hp67ea-serebristyi-100957825/?c=750000000,Intel UHD Graphics
Dell Ispiron 3501 210-AWWX 5397184501450 черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,SSD,256 ГБ,215990,https://kaspi.kz/shop/p/dell-ispiron-3501-210-awwx-5397184501450-chernyi-101158588/?c=750000000,Intel UHD Graphics 620
HP Laptop 15-DY1091WM серебристый,15.6 дюйм,1366x768,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,259000,https://kaspi.kz/shop/p/hp-laptop-15-dy1091wm-serebristyi-101099127/?c=750000000,Intel UHD Graphics
HP Europe 15-DB1056UR 7JX40EA черный,15.6 дюйм,1920x1080,AMD Ryzen 3 3200U,4 ГБ,HDD,1000 ГБ,215000,https://kaspi.kz/shop/p/hp-europe-15-db1056ur-7jx40ea-chernyi-1307322/?c=750000000,AMD Radeon RX Vega 3
HP ProBook 650 G5 8MJ62EA серебристый,15.6 дюйм,1920x1080,Intel Core i5 8265U,8 ГБ,HDD,1000 ГБ,499990,https://kaspi.kz/shop/p/hp-probook-650-g5-8mj62ea-serebristyi-100444667/?c=750000000,Intel UHD Graphics 620
Lenovo IdeaPad 320 80XR00XNRK черный,15.6 дюйм,1366x768,Intel Pentium N4200,4 ГБ,HDD,1000 ГБ,239990,https://kaspi.kz/shop/p/lenovo-ideapad-320-80xr00xnrk-chernyi-1305466/?c=750000000,AMD Radeon 530M
HP 15-rb034ur 4US55EA черный,15.6 дюйм,1366x768,AMD A4 9120e,4 ГБ,HDD,500 ГБ,209990,https://kaspi.kz/shop/p/hp-15-rb034ur-4us55ea-chernyi-1307135/?c=750000000,AMD Radeon R3
Asus X507MA-EJ314 90NB0HL1-M07060 серебристый,15.6 дюйм,1920x1080,Intel Pentium Silver N5000,4 ГБ,HDD,1000 ГБ,155000,https://kaspi.kz/shop/p/asus-x507ma-ej314-90nb0hl1-m07060-serebristyi-100018517/?c=750000000,Intel UHD Graphics 605
Lenovo S145-14IIL 81W6001HRK черный,14 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,512 ГБ,299990,https://kaspi.kz/shop/p/lenovo-s145-14iil-81w6001hrk-chernyi-100030913/?c=750000000,Intel UHD Graphics SMA
Lenovo IdeaPad S145-14API 81UV0016RK черный,14 дюйм,1366x768,AMD Ryzen 3 3200U,4 ГБ,HDD,1000 ГБ,249990,https://kaspi.kz/shop/p/lenovo-ideapad-s145-14api-81uv0016rk-chernyi-100280482/?c=750000000,AMD Radeon RX Vega 3
HP ProBook 450 G7 8VU73EA серебристый,15.6 дюйм,1920x1080,Intel Core i3 10110U,8 ГБ,SSD,256 ГБ,319800,https://kaspi.kz/shop/p/hp-probook-450-g7-8vu73ea-serebristyi-100370420/?c=750000000,Intel UHD Graphics 620
Lenovo Ideapad 330 81DC0194RK черный,15.6 дюйм,1366x768,Intel Core i3 7020U,4 ГБ,SSD,128 ГБ,249990,https://kaspi.kz/shop/p/lenovo-ideapad-330-81dc0194rk-chernyi-1307439/?c=750000000,Intel HD Graphics 620
